Country,Code,Price_1,Price_2,Price_3
PAYS-BAS,700,772.87,2335.15,3108.02
PEROU,705,772.87,1448.93,2221.80
PHILIPPINES,710,772.87,1923.24,2696.11
POLOGNE,715,772.87,1782.94,2555.81
PORTUGAL,725,772.87,1761.22,2534.09
QATAR,727,772.87,2088.77,2861.64
REPUBLIQUE CENTRAFRICAINE,155,772.87,4267.51,5040.38
REPUBLIQUE DOMINICAINE,755,772.87,1468.13,2241.00
REPUBLIQUE TCHEQUE,93,772.87,1870.33,2643.20
ROUMANIE,770,772.87,1474.15,2247.02
ROYAUME-UNI (autres villes),326,772.87,1800.57,2573.44
ROYAUME-UNI (Edimbourg),325,772.87,1762.50,2535.37
ROYAUME-UNI (Londres),327,772.87,2833.24,3606.11
RUSSIE (autres villes),938,772.87,2701.98,3474.85
RUSSIE (Moscou),935,772.87,2996.76,3769.63
RUSSIE (Saint-Petersbourg),936,772.87,2356.20,3129.07
RWANDA,775,772.87,1643.22,2416.09
SAINT-CHRISTOPHE-ET-NIEVES,783,772.87,1501.71,2274.58
SAINTE-LUCIE,785,772.87,1495.42,2268.29
SAINT-SIEGE,800,772.87,2031.26,2804.13
SAINT-MARTIN,701,772.87,2335.15,3108.02
SAINT-VINCENT-ET-LES GRENADINES,801,772.87,1502.61,2275.48
SALOMON (ILES),946,772.87,2886.61,3659.48
SALVADOR,805,772.87,1790.04,2562.91
SAO TOME-ET-PRINCIPE,803,772.87,2431.11,3203.98
SENEGAL,810,772.87,1704.49,2477.36
SERBIE,980,772.87,1360.98,2133.85
SEYCHELLES,407,772.87,1574.03,2346.90
SIERRA LEONE,815,772.87,2258.90,3031.77
SINGAPOUR,820,772.87,3208.37,3981.24
SLOVAQUIE,881,772.87,1529.50,2302.37
SLOVENIE,822,772.87,1363.29,2136.16
SOMALIE,825,772.87,3099.00,3871.87
SOUDAN,830,772.87,2320.00,3092.87
SOUDAN DU SUD,831,772.87,4518.00,5290.87
SRI LANKA,160,772.87,1795.02,2567.89
SUEDE,835,772.87,2049.72,2822.59
SUISSE (autres villes),838,772.87,3227.35,4000.22
SUISSE (Genève),840,772.87,3227.35,4000.22
SUISSE (Zurich),841,772.87,3287.23,4060.10
SURINAME,842,772.87,2617.32,3390.19
SYRIE,845,772.87,3636.90,4409.77
TADJIKISTAN,862,772.87,1910.41,2683.28
TAIPEI,865,772.87,1519.16,2292.03
TANZANIE,870,772.87,1821.74,2594.61
TCHAD,875,772.87,2974.37,3747.24
THAILANDE,885,772.87,1624.51,2397.38
TIMOR ORIENTAL,887,772.87,2111.32,2884.19
TOGO,890,772.87,1493.25,2266.12
TRINITE-ET-TOBAGO,895,772.87,2013.44,2786.31
TUNISIE,900,772.87,896.95,1669.82
TURKMENISTAN,902,772.87,3076.97,3849.84
TURQUIE (Ankara),906,772.87,1441.91,2214.78
TURQUIE (autres villes),907,772.87,1589.43,2362.30
TURQUIE (Izmir),908,772.87,1399.09,2171.96
UKRAINE,932,772.87,3148.14,3921.01
URUGUAY,940,772.87,1796.31,2569.18
VANUATU,945,772.87,1921.65,2694.52
VENEZUELA,950,772.87,2892.75,3665.62
VIETNAM,955,772.87,1583.03,2355.90
YEMEN,753,772.87,3655.80,4428.67
ZAMBIE,990,772.87,1357.62,2130.49
ZIMBABWE,765,2114.23,772.87,2887.10



